"","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"86543",NaN,346090,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86544",NaN,NaN,NaN,NaN,37252.0565,NaN,NaN,NaN,NaN,NaN
"86545",49365.93,NaN,NaN,NaN,NaN,NaN,NaN,18194,16479,NaN
"86547",49315.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86548",NaN,NaN,NaN,NaN,NaN,NaN,26543,NaN,NaN,NaN
"86549",NaN,NaN,NaN,NaN,37266,20692,26591,18249,16502,7068
"86551",NaN,346090,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86552",NaN,346300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86553",49365.93,346361.520618557,NaN,32151,37266,NaN,26590,18248.1355932203,16500.8725490196,7068.16090104586
"86554",NaN,NaN,39365,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86558",49315.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86560",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16482,NaN
"86566",NaN,346300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86568",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16482,NaN
"86570",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7073.51004409603
"86577",49276.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86578",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16492,NaN
"86582",NaN,346300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86586",NaN,NaN,NaN,NaN,NaN,20738,NaN,NaN,NaN,NaN
"86587",NaN,NaN,NaN,NaN,NaN,20692,NaN,NaN,NaN,NaN
"86588",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16498,NaN
"86589",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16501.5406626506,NaN
"86590",NaN,NaN,NaN,NaN,NaN,20662.8154547181,NaN,NaN,NaN,NaN
"86591",49195.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86592",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7071.89484679666
"86593",NaN,NaN,NaN,NaN,NaN,20599,NaN,NaN,NaN,NaN
"86594",49195.07,NaN,NaN,NaN,NaN,20635,26570,18248,NaN,7073
"86595",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16490.6754716981,NaN
"86597",NaN,NaN,NaN,NaN,NaN,20624.3728267869,NaN,NaN,16472,NaN
"86598",49195.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86599",49182.1322937771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86600",49179.36,NaN,NaN,NaN,NaN,20613,NaN,NaN,NaN,NaN
"86601",NaN,NaN,NaN,NaN,NaN,20613,NaN,NaN,NaN,NaN
"86603",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7065
"86605",49195.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86606",49207.244807418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86609",NaN,NaN,NaN,NaN,NaN,20613,NaN,NaN,NaN,NaN
"86612",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16472,NaN
"86613",NaN,NaN,NaN,NaN,NaN,20641.3043478261,NaN,NaN,NaN,NaN
"86614",49213.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86618",NaN,NaN,NaN,NaN,NaN,20619,NaN,NaN,NaN,NaN
"86620",49205.5149056604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86623",NaN,NaN,NaN,NaN,37265,NaN,NaN,NaN,NaN,NaN
"86625",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16473,NaN
"86628",NaN,NaN,NaN,NaN,NaN,NaN,26551,NaN,NaN,NaN
"86629",49213.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86632",49192.5353488372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86633",49195.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86635",NaN,NaN,NaN,NaN,NaN,NaN,26546,NaN,16472,NaN
"86637",NaN,NaN,NaN,NaN,37265,NaN,NaN,NaN,NaN,NaN
"86640",NaN,346298.526785714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86643",NaN,NaN,NaN,NaN,NaN,NaN,26536,NaN,NaN,NaN
"86644",NaN,346091,NaN,NaN,NaN,NaN,NaN,NaN,16473,NaN
"86645",49195.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86647",NaN,NaN,NaN,NaN,NaN,20655,NaN,NaN,NaN,NaN
"86649",NaN,NaN,NaN,NaN,NaN,20623,NaN,NaN,NaN,NaN
"86650",NaN,NaN,NaN,NaN,NaN,NaN,26532,NaN,NaN,NaN
