"","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"86598",1561359830,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86599",1561359831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86600",1561359832,NaN,NaN,NaN,NaN,1561359832,NaN,NaN,NaN,NaN
"86601",NaN,NaN,NaN,NaN,NaN,1561359833,NaN,NaN,NaN,NaN
"86603",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359835
"86605",1561359837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86606",1561359838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86609",NaN,NaN,NaN,NaN,NaN,1561359841,NaN,NaN,NaN,NaN
"86612",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359844,NaN
"86613",NaN,NaN,NaN,NaN,NaN,1561359845,NaN,NaN,NaN,NaN
"86614",1561359846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86618",NaN,NaN,NaN,NaN,NaN,1561359850,NaN,NaN,NaN,NaN
"86620",1561359852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86623",NaN,NaN,NaN,NaN,1561359855,NaN,NaN,NaN,NaN,NaN
"86625",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359857,NaN
"86628",NaN,NaN,NaN,NaN,NaN,NaN,1561359860,NaN,NaN,NaN
"86629",1561359861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86632",1561359864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86633",1561359865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86635",NaN,NaN,NaN,NaN,NaN,NaN,1561359867,NaN,1561359867,NaN
"86637",NaN,NaN,NaN,NaN,1561359869,NaN,NaN,NaN,NaN,NaN
"86640",NaN,1561359872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86643",NaN,NaN,NaN,NaN,NaN,NaN,1561359875,NaN,NaN,NaN
"86644",NaN,1561359876,NaN,NaN,NaN,NaN,NaN,NaN,1561359876,NaN
"86645",1561359877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86647",NaN,NaN,NaN,NaN,NaN,1561359879,NaN,NaN,NaN,NaN
"86649",NaN,NaN,NaN,NaN,NaN,1561359881,NaN,NaN,NaN,NaN
"86650",NaN,NaN,NaN,NaN,NaN,NaN,1561359882,NaN,NaN,NaN
"86655",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359887,NaN
"86657",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359889
"86658",NaN,NaN,NaN,NaN,NaN,NaN,1561359890,NaN,NaN,NaN
"86663",1561359895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86664",NaN,NaN,1561359896,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86665",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359897,NaN
"86672",NaN,NaN,NaN,NaN,NaN,NaN,1561359904,NaN,NaN,NaN
"86675",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359907,NaN
"86676",NaN,NaN,NaN,NaN,NaN,NaN,1561359908,NaN,NaN,NaN
"86681",1561359913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86682",1561359914,1561359914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86685",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359917,NaN
"86688",NaN,1561359920,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86691",NaN,NaN,NaN,NaN,1561359923,NaN,NaN,NaN,NaN,NaN
"86692",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359924,NaN
"86698",NaN,NaN,NaN,NaN,1561359930,NaN,NaN,NaN,NaN,NaN
"86702",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359934,NaN
"86703",NaN,NaN,NaN,NaN,NaN,1561359935,NaN,NaN,NaN,NaN
"86706",1561359938,NaN,1561359938,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86711",NaN,1561359943,NaN,NaN,NaN,NaN,NaN,1561359943,NaN,NaN
"86712",NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359944,1561359944,NaN
"86718",NaN,NaN,NaN,NaN,1561359950,NaN,NaN,NaN,1561359950,NaN
"86719",NaN,NaN,NaN,NaN,1561359951,NaN,NaN,NaN,NaN,NaN
"86721",NaN,NaN,NaN,NaN,1561359953,NaN,NaN,NaN,NaN,NaN
"86722",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359954,NaN
"86724",NaN,1561359956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86725",NaN,1561359957,NaN,NaN,NaN,NaN,1561359957,NaN,1561359957,NaN
"86728",NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359960,1561359960,NaN
"86729",1561359961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86732",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359964,NaN
"86737",NaN,NaN,NaN,NaN,1561359969,NaN,NaN,NaN,NaN,NaN
"86740",NaN,NaN,NaN,NaN,NaN,NaN,1561359972,NaN,1561359972,NaN
"86750",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359982,NaN
"86751",NaN,NaN,1561359983,NaN,1561359983,NaN,NaN,NaN,NaN,NaN
